Gender in Georgia,Georgian Name
M,აბესალომ
F,ადა
M,ავეტის
M,ავთანდილ
M,აზერ
M,აივაზ
F,აინე
M,აკაკი
M,ალან
F,ალანა
M,ალეკო
F,ალექსანდრა
M,ალექსანდრე
M,ალექსანდრე(კახა)
M,ალექსი
M,ალვერდ
M,ალი
M,ალიკო
M,ალუდა
M,ამირან
F,ანა
F,ანაიტ
M,ანატოლი
M,ანდრანიკ
B,ანდრია
M,ანდრო
M,ანზორ
F,ანი
M,ანჟელი
M,ანტონ
M,აპოლონ
B,არაზ
M,არარატ
M,არისი
M,არიფ
M,არკადი
M,არმენაკ
M,არმენიკ
M,არსენ
B,არსენა
M,არტავაზდ
M,არტემ
M,არჩილ
M,ასლან
F,ასმათ
M,აქვსენტი
M,აშოთ
M,ბაადურ
F,ბაბუცა
M,ბაგრატ
B,ბადრი
M,ბათუ
M,ბაკურ
M,ბარნაბ
M,ბაქარ
M,ბაჩა
M,ბაჩანა
M,ბაჩუკი
M,ბახვა
F,ბეგლარ
F,ბელა
M,ბენია
M,ბეჟან
M,ბეჟან(ზურაბ)
M,ბერდია
M,ბერდო
M,ბერიკა
M,ბესარიონ
M,ბესიკ
M,ბესიკი
M,ბექა
M,ბეჩუ
M,ბიბო
M,ბიქტორ
M,ბიძინა
M,ბიჭია
M,ბიჭიკო
M,ბორია
M,ბორის
M,გაბრიელ
F,გაბრიელა
B,გაგა
M,გაგიკ
M,გაიოზ
M,გალაქტიონ
B,გახრამან
M,გეგი
M,გედევან
M,გეიდარ
B,გელა
M,გენადი
M,გენო
F,გენრიეტა
M,გეორგი
M,გერვასი
M,გერმანე
M,გერონტი
F,გვანცა
M,გია
B,გიგა
M,გიგი
M,გიგლა
M,გივი
M,გიზო
M,გიორგი
F,გიული
M,გოგა
B,გოგი
M,გოგიტა
F,გოგუცა
M,გოდერძი
B,გონერ
M,გოშგარ
M,გოჩა
B,გრაირ
M,გრიგოლ
M,გრიგორი
M,გუბაზ
F,გუგული
M,გულადი
M,გულთმისან
B,გულუ
M,გურამ
F,გურანდა
M,გურგენ
M,დავით
M,დათო
M,დათუნა
F,დალი
F,დარეჯან
M,დარისპან
B,დევი
M,დემირ
M,დემნა
M,დემურ
F,დიანა
M,დილარ
M,დიმიტრი
F,დოდო
M,დუგლას
M,დურმიშხან
M,ეგნატე
M,ედემ
M,ედიშერ
M,ედნარ
M,ედუარდ
F,ევა
M,ევგენი
F,ეთერ
F,ეკა
F,ეკატერინე
M,ელგიზი
M,ელგუჯა
M,ელგუჯა(გია)
M,ელდარ
F,ელენე
F,ელზა
F,ელიზა
M,ელიზბარ
F,ელისო
F,ემა
B,ემელსი
M,ემზარ
F,ემიკო
B,ენვერი
M,ენზელ
M,ერეკლე
M,ერმალოზ
M,ეროდი
F,ესმა
M,ესტატე
M,ვალერ
M,ვალერი
M,ვალერიან
B,ვალერიანე
M,ვალოდია
M,ვალტერ
M,ვამეხ
B,ვან
M,ვანო
M,ვაჟა
M,ვარლამ
M,ვასილ
M,ვახო
M,ვახტანგ
M,ვემეხ
F,ვერა
M,ვეფხვია
M,ვეფხია
F,ვიოლეტა
M,ვიტალი
M,ვიქტორ
M,ვლადიმერ
M,ვლასი
M,ვოვა
M,ზაალ
M,ზაზა
M,ზაინდი
M,ზაურ
M,ზაქარია
M,ზეზვა
M,ზვიად
F,ზინაიდა
F,ზოია
M,ზურა
M,ზურაბ
M,თათევოს
M,თამაზ
F,თამარ
F,თამთა
F,თამილა
F,თეა
M,თედო
M,თედორე
M,თეზო
M,თეიმურაზ
M,თელმან
M,თემურ
M,თენგიზ
F,თეონა
F,თია
F,თინა
F,თინათინ
M,თორნიკე
F,ია
M,იაგო
M,იაგორ
M,იაზონ
M,იაკობ
F,იამზე
M,იასონ(ნუკრი)
M,იაშა
M,იგორ
M,ივანე
M,ივერი
